Row,modulus,hardness,carb,crys,fluo,age,tooth_label,mammal,age_group,position,depth,kc,b
1,76.07,4.17,0.08,12.21,962.65,6, 6j,h,p,outer,1,1.02,258.34
2,75.07,4.45,0.09,12.53,962.6,6, 6j,h,p,outer,0.8,0.93,277.7
3,74.1,3.91,0.1,12.77,962.61,6, 6j,h,p,middle,0.6,1.02,243.59
4,68.91,3.94,0.11,12.95,962.51,6, 6j,h,p,middle,0.4,1,244.44
5,63.81,3.11,0.12,13.18,962.68,6, 6j,h,p,inner,0.2,0.92,264.45
6,61.15,3.15,0.12,13.44,962.56,6, 6j,h,p,inner,0,0.97,249.66
7,82.61,3.89,0.07,11.97,962.61,4,4,h,p,outer,1,1.04,273.42
8,83.41,3.75,0.08,12.32,962.42,4,4,h,p,outer,0.8,1.02,260.63
9,74.41,3.37,0.09,12.72,962.43,4,4,h,p,middle,0.6,1.02,248.12
10,82.01,3.26,0.11,13.04,962.47,4,4,h,p,middle,0.4,1.04,236.99
11,69.98,3.1,0.12,13.3,962.43,4,4,h,p,inner,0.2,0.98,233.78
12,68.64,3.17,0.12,13.48,962.32,4,4,h,p,inner,0,0.95,234.06
13,83.22,4.4,0.08,11.46,962.42,5,5T,h,p,outer,1,1.06,262.91
14,78.34,3.89,0.1,11.94,962.39,5,5T,h,p,outer,0.8,0.98,285.35
15,72.65,3.88,0.12,12.35,962.36,5,5T,h,p,middle,0.6,0.95,264.31
16,67.87,3.56,0.1,12.72,962.35,5,5T,h,p,middle,0.4,1.03,245.43
17,62.36,2.93,0.13,13.16,962.17,5,5T,h,p,inner,0.2,0.97,236.19
18,62.27,2.91,0.14,13.52,962.06,5,5T,h,p,inner,0,0.95,241.3
19,83.72,4.19,0.09,12.19,962.18,6,6A,h,p,outer,1,1.09,241.34
20,81.19,4.17,0.1,12.46,962.24,6,6A,h,p,outer,0.8,1.07,298.81
21,78.68,3.92,0.1,12.57,962.24,6,6A,h,p,middle,0.6,1.03,305.82
22,74.37,3.74,0.11,12.78,962.32,6,6A,h,p,middle,0.4,0.95,313.15
23,70.95,2.55,0.1,12.93,962.39,6,6A,h,p,inner,0.2,0.93,392.35
24,68.92,2.76,0.11,13.24,962.35,6,6A,h,p,inner,0,0.93,392.49
25,87.99,4.71,0.08,12.4,962.14,7,7A,h,p,outer,1,1.05,274.43
26,83.51,4.39,0.09,12.16,962.03,7,7A,h,p,outer,0.8,1.06,266.25
27,78.05,3.94,0.09,12.25,961.95,7,7A,h,p,middle,0.6,1.03,250.26
28,77.35,3.44,0.1,12.42,961.92,7,7A,h,p,middle,0.4,1.02,255.48
29,74.65,3.4,0.1,12.93,961.85,7,7A,h,p,inner,0.2,1.03,240.05
30,69.71,3.08,0.13,13.76,961.62,7,7A,h,p,inner,0,1.02,242.97
31,85.32,4.7,0.07,12.28,962.27,7,7K,h,p,outer,1,1.05,272.13
32,81.71,4.15,0.08,12.55,962.1,7,7K,h,p,outer,0.8,1.01,284.82
33,79.11,4.04,0.08,12.52,961.91,7,7K,h,p,middle,0.6,1.06,248.45
34,76.45,3.69,0.09,12.72,961.87,7,7K,h,p,middle,0.4,0.99,278.21
35,71.75,3.48,0.1,12.93,961.85,7,7K,h,p,inner,0.2,0.97,256.13
36,69.36,3.42,0.11,13.36,961.7,7,7K,h,p,inner,0,1.01,248.92
37,92.59,4.81,0.08,11.06,962.96,32,32,h,y,outer,1,1.1,268.52
38,89.91,4.37,0.09,11.73,962.8,32,32,h,y,outer,0.8,1.11,269.2
39,89.17,4.08,0.1,12.28,962.75,32,32,h,y,middle,0.6,1.08,272.58
40,84.42,3.79,0.11,12.73,962.61,32,32,h,y,middle,0.4,1.09,258.94
41,81.3,3.6,0.12,13.27,962.52,32,32,h,y,inner,0.2,1.06,242.37
42,78.69,3.39,0.12,14.14,962.43,32,32,h,y,inner,0,1.04,257.26
43,92.88,4.58,0.08,11.37,962.62,27,27,h,y,outer,1,1.06,257.84
44,84.23,4.84,0.09,11.81,962.49,27,27,h,y,outer,0.8,1.1,304.2
45,84.4,4.23,0.09,12.22,962.47,27,27,h,y,middle,0.6,1.02,290.31
46,83.21,3.47,0.1,12.65,962.38,27,27,h,y,middle,0.4,1.02,350.28
47,81.58,3.87,0.1,13.16,962.32,27,27,h,y,inner,0.2,0.97,270.54
48,74,3.48,0.09,13.9,962.27,27,27,h,y,inner,0,0.98,286.68
49,93.96,4.51,0.08,11.28,962.49,31,31,h,y,outer,1,1.06,290.38
50,90.92,4.5,0.09,12.02,962.46,31,31,h,y,outer,0.8,1.04,336.81
51,88.02,4.08,0.11,12.47,962.38,31,31,h,y,middle,0.6,1,323.78
52,80.99,3.67,0.11,12.92,962.34,31,31,h,y,middle,0.4,1.11,278.96
53,79.22,3.43,0.11,13.1,962.35,31,31,h,y,inner,0.2,0.93,386.82
54,77.64,3.27,0.13,13.94,962.26,31,31,h,y,inner,0,0.86,391.35
55,88.08,4.46,0.06,11.48,962.68,32,32A,h,y,outer,1,1.06,266.54
56,84.71,4.59,0.09,11.99,962.44,32,32A,h,y,outer,0.8,1.01,285.34
57,74.99,3.88,0.12,12.46,962.37,32,32A,h,y,middle,0.6,1.03,233.13
58,68.41,3.11,0.1,12.82,962.33,32,32A,h,y,middle,0.4,1.01,236.95
59,60.36,2.77,0.12,13.06,962.17,32,32A,h,y,inner,0.2,0.92,235.59
60,63.45,2.85,0.12,13.42,962.06,32,32A,h,y,inner,0,0.95,238.48
61,82.67,5.25,0.07,11.18,963.06,46,46,h,y,outer,1,1.03,271.76
62,79.56,4.79,0.09,11.82,962.96,46,46,h,y,outer,0.8,1.05,262.33
63,75.78,4.4,0.1,12.24,962.92,46,46,h,y,middle,0.6,1,272.6
64,71.99,4.53,0.11,12.57,962.8,46,46,h,y,middle,0.4,1.02,249.8
65,67.65,4.17,0.12,12.9,962.81,46,46,h,y,inner,0.2,0.97,231.5
66,58.88,4.05,0.14,13.78,962.69,46,46,h,y,inner,0,1.04,205.95
67,84.39,4.29,0.07,10.59,962.47,26,26,h,y,outer,1,1.03,276.35
68,79.24,4.11,0.09,11.92,961.9,26,26,h,y,outer,0.8,1.06,263.57
69,77.14,4.03,0.11,12.54,961.84,26,26,h,y,middle,0.6,0.99,259.73
70,71.61,3.74,0.12,13.02,961.78,26,26,h,y,middle,0.4,1.04,235.1
71,69.52,3.42,0.13,13.43,961.73,26,26,h,y,inner,0.2,0.95,239.53
72,65.58,3.02,0.13,14.18,961.51,26,26,h,y,inner,0,0.93,261.5
73,97.01,4.81,0.08,11.33,962.85,56,56,h,o,outer,1,1,329.64
74,95.18,4.46,0.09,11.82,962.63,56,56,h,o,outer,0.8,1.08,314.42
75,91.8,4.3,0.1,12.22,962.7,56,56,h,o,middle,0.6,1.14,246.16
76,88.1,4.04,0.1,12.63,962.68,56,56,h,o,middle,0.4,1.09,264.81
77,83.44,3.9,0.11,12.86,962.62,56,56,h,o,inner,0.2,1.11,231.83
78,80.59,3.6,0.12,13.38,962.56,56,56,h,o,inner,0,1.04,226.05
79,89.46,4.69,0.07,11.38,962.91,55,55,h,o,outer,1,0.91,292.45
80,79.85,3.71,0.09,11.84,962.81,55,55,h,o,outer,0.8,0.83,428.52
81,84.36,3.78,0.1,12.1,962.77,55,55,h,o,middle,0.6,1.03,272.25
82,72.81,3.17,0.11,12.35,962.69,55,55,h,o,middle,0.4,0.94,269.64
83,77.83,3.46,0.13,12.65,962.72,55,55,h,o,inner,0.2,0.99,372.26
84,67.7,3.3,0.12,12.86,962.64,55,55,h,o,inner,0,0.92,269.33
85,90.3,4.44,0.1,12.02,962.8,59,59,h,o,outer,1,1.03,294
86,91.29,4.27,0.1,12.36,962.58,59,59,h,o,outer,0.8,1.08,299.27
87,84.09,4.29,0.11,12.64,962.59,59,59,h,o,middle,0.6,1.05,256.64
88,83.19,4.13,0.11,12.91,962.54,59,59,h,o,middle,0.4,1.11,256.59
89,79.86,3.77,0.12,13.07,962.62,59,59,h,o,inner,0.2,1.06,239.43
90,79.13,3.57,0.13,13.29,962.69,59,59,h,o,inner,0,1.12,238.13
91,98.4,4.83,0.08,11.31,961.82,60,60,h,o,outer,1,1.01,330.51
92,92.59,4.72,0.09,11.84,961.74,60,60,h,o,outer,0.8,1.01,314.02
93,85.52,4.61,0.09,12.26,961.71,60,60,h,o,middle,0.6,1.12,246.06
94,87.06,3.99,0.09,12.66,961.6,60,60,h,o,middle,0.4,1.05,244.33
95,82.86,3.86,0.11,13.03,961.57,60,60,h,o,inner,0.2,1.23,205.42
96,71.66,3.75,0.13,13.49,961.54,60,60,h,o,inner,0,1.16,236.8
97,96.17,4.88,0.08,11.83,962.42,82,82,h,o,outer,1,0.82,436.08
98,91.9,4.47,0.09,12.13,962.37,82,82,h,o,outer,0.8,1.01,329.82
99,88.51,4.36,0.1,12.43,962.34,82,82,h,o,middle,0.6,0.92,358.55
100,85.77,4.18,0.1,12.65,962.24,82,82,h,o,middle,0.4,0.9,317.82
101,81.47,3.88,0.12,12.96,962.27,82,82,h,o,inner,0.2,0.96,315.4
102,78.84,3.4,0.12,13.25,962,82,82,h,o,inner,0,0.92,389.88
103,99.83,5.58,0.06,11.52,962.13,67,67,h,o,outer,1,1.01,301.7
104,94.51,5.29,0.09,11.98,961.99,67,67,h,o,outer,0.8,1.05,285.22
105,88.79,4.98,0.09,12.37,961.86,67,67,h,o,middle,0.6,1.09,257.72
106,81.38,4.3,0.1,12.53,961.84,67,67,h,o,middle,0.4,1.06,250.82
107,78.62,4.02,0.11,12.82,961.82,67,67,h,o,inner,0.2,1.12,232.43
108,75.68,3.68,0.12,13.17,961.72,67,67,h,o,inner,0,1.05,235.12
109,87.97,5.06,0.08,12.11,960.54,21,21,o,bb,outer,0.95,0.77,696.95
110,83.6,4.65,0.1,12.37,960.59,21,21,o,bb,outer,0.75,0.73,784.73
111,84.61,4.65,0.09,12.52,960.57,21,21,o,bb,middle,0.51,0.72,767.05
112,86.66,4.64,0.1,12.68,960.58,21,21,o,bb,middle,0.28,0.76,654.95
113,85.91,4.52,0.11,12.83,960.51,21,21,o,bb,inner,0.16,0.78,598.12
114,84.72,4.14,0.11,13.02,960.42,21,21,o,bb,inner,0,1.13,293.37
115,55.37,3.03,0.09,12.58,960.57,14,14,o,gw,outer,0.95,0.91,237.26
116,63.88,3.2,0.1,12.83,960.52,14,14,o,gw,outer,0.75,0.9,233.78
117,63.05,3.19,0.12,13.11,960.51,14,14,o,gw,middle,0.67,0.85,240.6
118,54.67,2.61,0.12,13.36,960.45,14,14,o,gw,middle,0.37,0.86,236.7
119,53.2,2.54,0.12,13.57,960.36,14,14,o,gw,inner,0.18,1.05,110.57
120,47.24,2.12,0.13,13.71,960.31,14,14,o,gw,inner,0,1.12,98.49
121,80.41,4.22,0.08,12.23,960.71,12,12,o,lion,outer,0.95,0.77,561.88
122,84.1,3.69,0.1,12.61,960.52,12,12,o,lion,outer,0.77,0.74,602.13
123,78.6,3.24,0.11,12.9,960.45,12,12,o,lion,middle,0.61,0.94,298.99
124,78.32,3.27,0.12,13.14,960.45,12,12,o,lion,middle,0.43,0.91,316.05
125,73.17,3.01,0.13,13.32,960.43,12,12,o,lion,inner,0.14,0.97,221.49
126,65.86,2.94,0.14,13.54,960.39,12,12,o,lion,inner,0,1.09,179.15
127,81.42,3.84,0.1,12.16,961.36,11,11,o,sl,outer,0.95,0.71,615.28
128,82.69,3.66,0.1,12.7,961.14,11,11,o,sl,outer,0.8,0.82,464.81
129,79.87,3.38,0.11,12.93,961.06,11,11,o,sl,middle,0.59,0.84,353.18
130,75.12,2.95,0.11,13.21,961,11,11,o,sl,middle,0.34,0.84,348.44
131,78.53,3.1,0.13,13.44,960.95,11,11,o,sl,inner,0.13,0.87,309.45
132,71.03,3.2,0.14,13.75,960.96,11,11,o,sl,inner,0,0.88,299.6
133,66.59,3.5,0.09,12.95,960.77,10,10,o,wad,outer,0.97,0.92,434.5
134,64.8,3.47,0.1,13.06,960.71,10,10,o,wad,outer,0.77,1.02,352.11
135,59.4,3.32,0.11,13.35,960.65,10,10,o,wad,middle,0.59,1.04,304.3
136,56.92,2.89,0.12,13.53,960.57,10,10,o,wad,middle,0.39,1.07,305
137,57.43,3.09,0.12,13.66,960.5,10,10,o,wad,inner,0.21,1.14,259.27
138,59.56,3.29,0.13,13.83,960.47,10,10,o,wad,inner,0.02,1.2,227.67